icrogidA	icrogidB	w
1742768	4925944	0.431
4056103	4170340	0.9
201818	3078390	0.824
4494468	536376	0.913
2313900	3197479	0.55
488952	5329128	0.482
2698076	491337	0.926
2178303	5375088	0.431
158012	494867	0.28
3377040	4411179	0.28
374782	4774660	0.676
2423255	961525	0.28
1706876	2448067	0.36
2053332	212624	0.431
3130413	776494	0.644
2753834	3495226	0.28
3031487	3837793	0.28
1085946	4282728	0.972
1960612	5369795	0.28
2465353	394706	0.36
3894658	5369795	0.431
1160340	5365212	0.778
1469613	5344278	0.28
4370876	900408	0.431
1447330	335385	0.778
3181212	4122724	0.684
4056103	4892880	0.705
1505377	4945848	0.636
2220397	2256074	0.431
1134113	3001692	0.431
2498461	4871405	0.28
3019918	737582	0.191
3288801	4582088	0.719
10013539	1636265	0.968
4859895	5386790	0.952
1737551	3884235	0.719
1235047	2838393	0.431
1398695	2685308	0.28
4777149	73857	0.798
2246291	4035043	0.431
1945943	4629164	0.951
1842811	475613	0.191
4600608	5124507	0.431
1508715	16817590	0.28
366730	3686954	0.28
3197479	3877317	0.928
1565762	2068280	0.879
1150330	3522491	0.994
16816000	5231284	0.719
1036842	5267677	0.54
1445817	4935615	0.55
1474152	4821148	0.669
1357733	2532732	0.431
16819156	29439	0.999
2981808	5332709	0.28
2620388	4831004	0.431
4968159	5118416	0.793
1464033	4304148	0.902
172683	2233081	0.36
496338	5091618	0.719
506434	749723	0.36
1605335	1960612	0.431
3550890	91168	0.431
2662282	3999360	0.431
2068280	5232295	0.345
5376339	807344	0.921
4402320	5298089	0.431
1400094	3829664	0.997
3809612	4948675	0.756
1605620	782598	0.55
2135848	2452930	0.28
4460223	4645402	0.36
1611125	4426536	0.744
3062679	3477928	0.28
1411336	739966	1
1885413	882993	0.978
2920195	820620	0.644
1692316	29378	0.36
4465042	4975719	0.191
2020257	3062679	0.28
3167932	4762389	0.997
1108016	656326	0.482
215916	5343965	0.28
1054200	5290997	0.28
3924216	4749326	1
3607626	585351	0.431
2551919	4780988	0.28
3474557	649743	0.644
3501488	9650703	0.418
5185472	9645150	0.824
2494598	4920113	1
5176374	943142	0.977
4844654	820620	0.644
1950385	5091618	0.861
2459288	4184410	0.191
1615885	4358247	0.431
2450911	749723	0.888
3158227	4337063	0.719
2011782	2655775	0.431
2670	3470416	0.636
3482397	3495997	0.738
2639679	4926237	0.636
1447330	9441958	0.644
4497269	691693	0.431
1171767	66889	0.913
1580631	5277093	1
2498461	3205598	0.28
