icrogidA	icrogidB	w
3887353	4750819	0.431
212624	4772081	0.55
2662282	2699537	0.824
2068280	2973208	0.944
1611110	177773	0.935
2459288	4688165	0.976
321631	3766206	1
2981922	633566	0.431
2886402	3095898	0.28
468848	5311699	0.431
2024366	5008875	0.28
5146399	649743	0.28
4365557	5824315	0.431
2221221	2255804	0.644
1514270	5141696	0.973
4915679	67092	0.36
1377931	369866	0.28
1106478	2221221	0.494
1933837	3756065	0.84
2220001	4264259	0.36
1247513	2284410	0.999
1941659	804206	0.28
3161367	799425	0.431
2068280	2348958	0.719
2707431	3295546	0.28
3160534	4717503	1
2058139	618017	0.798
3170037	776177	0.431
3184048	4912811	0.84
1030338	3357491	0.979
2119668	4774660	0.644
1643009	24456	0.494
4056103	4935615	0.961
1692316	2334564	0.28
2409303	4304881	0.431
2650406	5828243	0.712
3661505	567306	0.719
1366033	850903	1
4056103	900408	0.948
1731800	4830470	0.431
3027803	3530844	0.28
5272060	97826	0.55
1680760	3756319	0.431
135769	2653705	0.191
105171	3233540	0.36
3392214	4102745	0.431
16822217	2354316	0.591
1196452	4811083	0.6
2152499	3378486	0.431
2562491	3107076	1
1004542	3027803	0.925
285424	370844	0.28
2240228	3739419	0.55
1065413	597019	0.431
2533040	4810370	0.644
1734411	2304613	0.431
163267	4395712	0.778
2394559	4497269	0.431
2079075	2286245	0.997
5820355	73857	0.28
126772	5177449	0.191
3176119	685046	0.861
1020765	4976233	0.644
1201108	16816621	0.644
3082885	9442767	0.431
1688346	1753510	0.719
2135848	5279905	0.861
482626	649743	0.191
4706299	668683	0.431
1240138	1871880	0.591
2043465	799425	0.431
1600040	2623348	0.431
1660206	4589471	0.993
3513892	3686111	0.431
2899128	291788	1
4404782	698664	0.55
2012571	482626	0.494
3837793	4986827	0.36
14006818	2314663	0.55
1124639	3077030	0.962
14008341	2963020	0.28
1218184	1951806	0.995
16822233	3429103	0.885
2066623	3485207	1
4720804	860563	0.964
1932601	280867	0.431
2223151	882235	0.36
1119944	2154661	0.431
2428575	3670225	0.997
3026796	3513892	0.28
2483695	746078	0.431
3283605	4687717	0.191
1366033	2973208	1
3087482	3310209	0.431
4610681	4717503	0.28
5032355	807344	0.913
2405313	4258047	0.431
1594998	5372985	0.36
2086604	2498461	0.28
1594998	4983271	0.431
1373290	87526	0.772
2284410	585351	0.55
5294702	721449	0.676
1721437	2562975	0.191
2981808	3301364	0.28
644655	9442999	0.191
150325	3698509	0.644
4154210	4739027	1
1981907	3503650	0.997
1919336	2490487	0.55
3885227	4442839	0.986
1627438	3369267	0.431
1434959	618017	0.854
2441196	2695738	0.494
2068280	3793775	0.772
3328630	746078	0.778
257902	3612655	0.996
2314077	3752461	0.28
1297481	2194565	0.644
1437711	16817590	0.28
2053332	4557976	0.28
2808470	506434	0.824
1378425	4028335	0.28
2876530	327364	0.949
1165658	125977	0.28
1945943	4555292	0.917
1600741	3128457	1
3465227	4783914	0.431
2183154	5124712	0.778
2235823	547668	0.644
4629164	642705	0.977
3908752	4374234	1
5176863	5408338	0.36
158012	5271742	0.28
2494598	4749326	1
2639679	4683502	0.36
4062793	96325	0.36
1773797	3916305	0.36
14006660	4012386	0.431
3572785	3877317	0.948
596393	686131	0.992
2228623	2423255	0.999
1382021	5125341	0.644
1627793	2218557	0.999
280867	4446425	0.802
1247513	4691983	0.767
1636265	3390649	0.431
2334209	5336614	0.719
3333598	5279905	0.917
1326862	4157895	0.778
2218557	4083603	0.644
2494710	2801607	0.431
4133962	5070749	0.644
2755667	5039938	0.431
3908752	4919255	0.55
332520	4492196	0.832
2024366	607323	0.28
2068280	4300278	0.991
1471693	2012571	0.431
3805630	809471	0.28
3247316	3621324	0.36
102816	9378626	0.28
3087482	941878	0.824
124814	3355830	0.431
2127787	860563	0.191
1159046	785031	0.28
3087482	5131942	0.28
1184244	5081339	1
3548059	77315	0.998
195893	2024366	0.55
3725840	4122454	0.55
1981907	5151844	0.985
1869850	201818	0.28
3016069	3063081	0.968
1160340	2295161	0.28
2916546	3136202	0.36
3306613	3662844	0.973
2667038	4629164	0.431
2018169	4700691	0.36
133359	9650714	0.644
2533655	4925944	0.55
351104	4303895	0.9
236213	3357491	0.28
303553	5399508	0.28
1160184	2746595	0.191
1951585	2521136	0.28
2287799	828719	0.191
2449309	2547485	0.431
1996519	57073	0.431
3482397	3961535	0.94
2421122	2681838	0.55
3076419	5418263	0.191
14008341	3398066	0.28
2946713	919397	0.36
1251870	1724162	0.997
1541204	4421021	0.431
1859715	707837	0.54
3853314	928592	0.431
17189	1960612	0.55
3503650	4196970	0.676
3091096	3643191	0.999
4692488	4836805	0.959
1826165	336486	0.431
3202745	9769294	0.55
1589274	596393	0.431
4656121	596393	0.953
1354834	3408178	0.431
3500415	863934	0.925
1810439	2227929	0.913
1109800	2973208	0.431
1936854	5162718	0.28
2656048	3002370	0.36
1791003	5301393	0.935
11007424	2812442	1
1703459	4497269	0.431
4913783	4932229	0.644
2068280	9147737	0.895
10955	928381	0.961
1371283	3185402	0.28
1945943	2681838	0.902
2556870	4727611	0.28
4028622	5133607	0.973
1159046	492457	0.28
4157895	4865286	0.98
1496922	3371516	0.992
4576622	717153	0.998
2079075	4717503	0.861
1095593	1160340	0.36
1960370	2623348	1
1062659	149354	0.921
2609839	2878369	0.431
1743227	2794789	0.824
262978	4765384	0.431
222284	5155720	0.431
2794256	4629164	0.494
3607626	9644680	0.431
1885413	2092370	0.28
3298741	3342392	0.431
2715385	3883239	0.28
1916174	857930	0.431
3995515	5336546	0.28
4933842	4972844	0.431
4092105	964296	0.824
2607334	4119912	0.431
2168149	867906	0.928
1066766	1561215	0.55
1449530	4299381	0.36
644929	91168	0.28
1724797	327933	0.955
2967988	3329468	0.36
34225	9441518	0.55
4121898	421085	1
3816848	749723	0.28
3062679	3091726	0.28
5344278	9147737	0.28
1885413	547119	0.84
1218345	3908752	0.824
4604599	4925944	0.55
3413702	4475099	0.744
2889347	36106	0.494
1944031	2053332	0.28
1017070	3316014	0.28
1885413	2351981	0.861
3961535	418524	0.55
2620643	4972844	0.431
2461566	2677230	0.28
129717	2154661	0.36
3408178	4652765	0.431
2201336	5336595	0.431
2693458	4813983	0.431
2618003	2909998	0.84
3717438	5006590	0.28
596227	9214251	1
4056103	4259668	0.36
1007949	2201336	0.997
3174903	3285460	0.712
2183154	3589204	0.802
3328681	875557	0.994
3636322	746078	0.816
1428760	2222878	0.28
374782	4572002	0.431
4506918	607898	0.28
1130054	3997229	0.89
2201336	3449862	0.28
2589509	3985867	0.676
2309550	3578630	0.762
221523	3573425	0.988
3267849	492000	0.54
3503650	5338431	0.28
2653705	4717428	0.191
2068280	3202052	0.902
1976916	3915161	1
2467180	3487095	0.644
1262914	828719	0.966
1576347	2068280	0.418
169746	2228623	0.36
1621566	2068280	0.47
1052987	431854	0.431
243775	3773125	0.28
4670894	618017	0.867
3545065	4021	0.431
4453975	921735	0.28
2796151	710983	0.28
1651152	5247574	0.55
4810370	4865286	0.879
1364794	2229473	0.824
2693554	3348102	0.28
2618592	3985333	0.874
5151844	799425	0.644
315565	3561944	0.431
2528098	5346892	0.431
1027325	425242	0.431
1405691	4656121	0.431
3636322	4600608	0.644
4113543	4605469	0.55
1677205	4983032	0.981
1236581	1706876	0.84
232605	3071270	0.28
3202052	4811603	0.36
2092370	3614980	0.999
2857086	2980254	0.719
4303804	4529117	0.28
2779711	4102745	0.431
1123797	2247746	0.28
2092370	5279905	0.191
3080356	449091	1
2623348	4774660	0.719
2450911	3021894	0.644
2071236	2406289	0.28
4264365	492534	0.778
2029948	3357491	0.644
2122617	597019	0.431
1612585	4651885	1
1384984	1515072	0.191
2089762	233780	0.744
2174789	3062679	0.28
4303804	907507	0.431
315909	5101900	0.36
2089762	746078	0.591
2993918	3884235	0.719
482626	715083	0.84
2791829	3962824	0.431
1948132	4231085	0.28
162104	3872267	0.989
2821119	3296207	0.997
1738257	9769294	0.431
3589204	9378717	0.36
1775657	5975	0.431
1629380	4868957	0.28
2579349	3184048	0.767
121585	4777149	0.55
2413104	857930	0.798
1538681	5029749	0.28
704697	806284	0.36
3740662	4280011	0.913
1123210	374782	0.997
1170182	4732923	1
1885413	5365212	1
5231668	889777	0.28
2639679	3285460	0.931
2593886	9441518	0.482
1605620	3404979	0.431
2867097	5074778	0.55
2562491	9650703	0.191
13784736	475613	0.191
4590163	863768	0.28
4706777	4717503	0.28
62083	703905	0.84
2256074	882235	0.28
3087482	3348569	0.28
4181226	4718423	0.824
1431607	4917265	1
1680760	585351	0.431
2068280	4251325	0.936
2721163	73857	0.824
1777720	3470416	0.28
2916546	5162718	0.591
452957	9147833	0.36
5333860	9213510	0.55
16832758	5091618	0.636
4863907	4984842	0.744
2348958	821803	0.494
1444291	1853810	0.28
2681082	4692488	0.867
13924501	4475099	0.431
2755718	655876	0.676
2726989	821803	0.28
38167	783937	0.824
4374641	9769024	0.999
1885413	3484827	0.998
299897	3198867	0.951
2602138	3202784	0.55
1340317	2639679	0.191
1373290	987424	0.28
1085946	5309542	0.719
2186087	3654580	0.972
1386965	4173294	0.28
2079075	4972844	0.55
121720	4750819	0.28
2068280	2375737	0.958
1885413	2643753	0.874
1859715	939620	0.84
4280011	5093917	0.951
4646362	4706299	0.431
1594998	961919	0.36
1842618	4979240	0.744
1653461	561057	0.644
4577968	592621	0.987
107947	799425	0.431
1807201	876759	1
2621204	3171112	0.482
1941659	3699097	0.418
3158227	820620	0.719
2681838	3390649	0.9
1052508	5397690	0.494
1413041	5841075	1
10955	3078390	0.55
2079075	857930	0.778
15729	4915790	0.9
4868710	879772	0.28
1065781	1296356	0.778
2963020	886751	0.946
2628672	4717061	0.644
2272676	4231106	0.96
16820638	5118416	0.55
3238818	4197396	0.644
2068280	2086604	0.851
1566579	4157895	0.778
2079075	2961203	0.9
4223517	5184439	0.644
1674881	2803406	0.719
16816000	758641	0.591
3062679	492457	0.28
2084336	9442996	0.431
4004966	4266584	0.89
2545061	4559306	0.644
11934935	3970517	0.888
232605	5068886	0.28
1981907	2392885	0.976
373282	4985828	1
2695738	4206835	0.36
1325425	3213877	0.6
4120678	4198472	0.431
2853646	83178	0.36
4600608	899063	0.55
1145766	921771	0.999
1630572	2082462	0.431
1365685	216050	0.28
121585	548234	0.885
3132597	4805603	1
2068280	2738319	0.971
190090	2038544	0.987
5133556	5317296	0.28
2068280	2399757	0.47
4300278	4557976	0.732
1609299	2186087	0.798
3266827	4811083	0.494
1218184	540572	1
1106478	3176507	0.36
2953129	3095898	0.28
1970718	3182537	0.28
1976328	3912212	0.676
16816634	5071100	0.28
1049186	4899455	0.28
2879966	4413015	0.744
1279185	4687627	0.36
2142605	5344277	0.36
1636625	4020300	0.191
5397179	961211	0.55
3710129	4842235	0.28
2350475	3490749	0.28
1775657	4915790	0.345
2494710	4456845	0.957
2000739	33166	0.28
3516024	598677	0.431
29378	3780725	0.98
1225374	2052163	0.28
1037566	3744123	0.431
2482675	4560000	0.861
1885413	2439517	0.36
2068280	4660946	0.191
11007372	1366033	0.591
1144846	11794641	0.719
4600608	4831004	0.431
2135848	232701	0.744
327364	4154210	1
1885413	889777	0.996
4867693	4883806	0.28
858777	9769294	0.978
1611326	3552647	0.431
2512128	4497269	0.431
4206283	905028	0.952
3728706	4056103	0.28
1007504	14006253	0.712
2763982	3708196	1
1325425	2086604	0.798
247278	2497115	0.744
4210841	5435511	0.28
3378486	73857	0.676
1066643	2821449	0.55
4359740	4465042	0.431
2790108	3750560	0.191
1823685	2898778	0.676
2639679	3008487	0.93
1630572	3538629	0.431
1894250	2449677	0.874
643805	9148596	0.28
3072139	343045	0.482
4119912	4831700	0.431
2068280	3513233	0.972
2068280	4017018	0.725
2972109	3062679	0.28
1695600	2498461	0.28
1900675	4694805	0.98
394706	961919	0.676
1593552	3826216	0.28
1945941	4689036	0.975
1020765	5306648	0.28
2826077	3580033	0.431
2251971	995665	0.482
1655367	3128457	0.993
3670225	910608	0.885
4863907	9148667	0.494
5119046	850903	0.824
1278344	9769294	0.482
2640615	5205965	0.36
1937442	508037	0.824
2038544	3967493	0.28
2636214	3570634	0.36
2157009	4501358	0.28
5365212	899063	0.9
1346269	5409001	0.36
1806051	1920183	0.431
4721442	5118044	0.55
2373588	5157888	0.744
3624828	597241	0.931
2793958	3502869	0.36
4983032	986959	0.55
201818	5344278	0.28
190090	2775278	0.867
1508823	5123142	0.431
2271732	2497115	0.861
1182278	1505377	0.431
1612585	2229312	0.999
4999284	5045181	0.911
125977	399772	0.28
402740	4997501	0.55
2166899	677627	0.55
1706876	785031	0.36
2807626	4304488	0.431
1894250	4836805	0.28
1594998	2403972	0.431
1514270	3594045	1
299897	9148163	0.431
5155163	864205	0.431
29439	4524269	0.191
3096373	4185713	0.778
1472711	2268399	0.28
2068280	655876	0.98
2201336	3076419	0.676
2067078	5347590	0.644
2018169	2066623	0.28
5056622	5253180	0.996
1529536	1626462	0.28
11007358	1923050	0.28
361400	4056103	0.28
3360826	763142	0.28
10724543	5435299	0.431
3747444	4197496	0.36
1160340	2807626	0.938
4182659	5093917	0.28
4088650	4456845	0.28
3130413	4327650	0.36
2984156	5266811	0.28
1706607	736197	1
1386965	4266312	0.28
3670225	3896672	0.987
2662282	4698162	0.55
4926164	851117	0.431
1062659	4882128	1
3690765	4691983	0.28
1615885	3182537	0.431
4058961	4303895	0.793
1627438	4743397	0.431
2170344	3865460	0.36
3536546	4166863	0.778
5395936	639797	0.55
1394537	2753834	0.28
2154661	771261	0.36
2036439	4810370	0.28
1349134	3097962	0.191
5108932	9769294	0.676
3846259	5278141	0.431
4299381	4689036	1
1915634	2068280	0.571
4690032	5141696	0.28
1464033	7422	0.996
4012386	900408	0.999
2043465	2923779	0.6
2083017	2188089	0.191
4173488	4811603	0.494
2327243	4984842	0.431
3169673	3236710	0.494
1368998	4863907	0.431
4835623	686131	1
4137152	4661790	0.28
3585684	4365557	0.995
1218345	2246861	0.824
715083	9148596	0.636
1874372	4721116	0.978
2094162	5821236	0.712
3047661	3751566	0.976
2018169	9645115	0.36
308140	5162718	0.28
14007162	532222	0.494
2695738	3270120	0.494
1947668	3062679	0.28
3299522	4249988	0.36
1362433	1947840	0.778
3678099	547668	0.431
2240228	570073	0.644
2857551	3723605	0.874
1552605	3157383	0.28
548234	9650714	0.816
1627438	2246291	0.431
1514270	3578630	0.933
2562491	3513233	0.418
2080559	5020137	0.28
3002370	885220	0.28
403355	4058961	0.676
2886402	4196970	0.644
1092793	5280551	0.943
162104	3600161	0.719
1482562	5278338	0.998
2174789	2235823	0.36
1594998	4999284	0.36
2981808	3535846	0.431
3495997	5155720	0.712
2623348	4374641	1
2229473	4078346	1
2153339	3498736	0.431
2993521	9768633	0.55
2348958	5344278	0.36
1894250	2808470	0.55
1053870	4303895	0.738
1145418	1431300	0.55
2973208	4280011	0.431
1664648	1853695	0.55
14007177	4424310	0.55
1594998	8972670	0.36
4915790	5251677	0.191
5341877	590396	0.55
1801038	2823413	0.28
4033107	9443120	0.28
10013563	4874921	0.644
1505377	4608361	0.644
1511105	2452930	0.719
1706876	3573425	0.644
1186808	418524	0.431
393561	4645419	0.28
2963834	547668	0.28
2929543	4546943	0.996
4616280	961525	0.28
4529117	4563998	0.778
2272676	4863907	0.959
1124639	1449530	0.431
2532786	3062855	1
2168044	9148596	0.28
1269172	2263036	0.55
2715385	3225667	0.36
1105296	4813873	0.591
2068280	4953160	0.47
2123403	4196470	0.55
1128724	1160340	0.861
16817590	233647	0.28
1143071	1884736	1
3075586	741285	0.36
2135848	2168149	0.28
2871666	5153790	0.28
1915060	2985600	0.36
196003	70418	0.989
3524854	3643191	0.55
1688346	1885413	0.55
2976835	3691852	0.6
1066643	321631	0.938
4126476	512231	0.874
11393240	1871880	0.644
3580033	4372825	0.55
14007662	3909139	0.676
1907266	31292	0.431
2114465	2713674	0.644
3816848	5121950	0.36
4017018	4501358	0.431
1700717	746078	1
13924426	4884340	0.36
1753973	2491041	0.719
1386965	9148667	0.28
1921791	596393	0.895
3974050	5116480	0.28
4577390	5253180	1
2348958	5081339	0.191
3589204	4465042	0.494
3157383	936905	0.28
3551779	4041765	0.431
3553333	749621	0.36
1224905	3487095	0.788
2068280	271062	0.971
1756023	253837	0.431
1393325	570073	0.36
4802489	657632	0.431
1160340	2106983	0.431
1764791	3550890	0.28
3556167	5129575	0.431
1388763	555079	0.676
2386473	9148117	0.431
1170182	3594045	0.431
3062679	5125341	0.854
2223151	4721116	0.36
2976835	3371516	0.55
1160340	853933	0.28
3132597	4461253	0.989
2186087	370844	0.28
16817590	4204307	0.28
2552256	327364	0.885
2244113	715083	0.431
357635	4717503	0.644
3176249	5125341	0.874
2791218	783937	0.55
1961605	2141127	0.431
3884235	9645115	0.431
2481001	753385	0.36
3337017	3563231	0.431
16816556	4409805	0.719
1026809	712420	0.55
1449657	2054502	0.431
3725197	4259668	0.28
1618823	2547906	0.431
114725	1316718	0.431
1704297	602537	0.431
4035750	630730	0.431
2459288	2922987	0.75
2556870	4959262	0.998
2520439	3135968	0.431
1609299	897627	0.719
2682300	3875295	0.55
2073222	5255272	0.55
3131955	4918939	0.55
390142	986959	0.854
3135924	447011	0.431
3792106	4071702	1
4461738	974711	0.84
1815096	4638894	0.861
3170278	4326412	0.964
1049186	2547906	0.874
1947840	2659032	0.191
2494598	4780988	0.28
1235047	4465042	0.494
4088746	4720276	0.778
5279905	656326	0.431
1065781	3999360	0.985
2472240	4625451	0.431
2229473	5032355	0.994
218817	821803	0.28
2528102	851117	0.431
3027803	5369795	0.644
1173557	3993293	0.431
1365685	4453536	0.992
1123797	5207620	0.28
3288801	5435511	0.28
662837	749517	0.431
2556870	4409073	0.6
5186717	687228	0.191
1469675	1941659	0.36
3265372	86930	0.431
2158197	5397179	1
3612655	5343965	0.28
2279891	4422080	0.36
1386965	5094480	0.431
2719747	722955	0.976
2581064	3795051	0.854
4251789	4990573	0.931
1034179	2981808	0.28
1247513	4821148	0.832
14006253	310728	0.55
1109308	2763982	0.55
1757092	3999360	0.431
5123396	5188880	0.971
322805	401222	0.854
1629502	5094002	0.28
1923729	4680436	0.996
2154661	4237841	0.431
1994979	4386137	0.744
1976916	4418912	0.772
452957	4907078	0.36
2068280	3176507	0.913
2003551	4887758	0.431
5015644	724057	0.431
1144307	3051344	0.644
1180573	2664703	0.744
2266085	4717503	0.824
1253203	2878369	0.36
216050	3485195	0.28
2154661	2622601	0.431
1660206	3207314	0.913
2801214	3219208	0.431
3027079	606247	0.482
1368998	1611110	0.644
245135	5433705	0.431
1283244	1776500	0.191
4635868	5356388	0.28
1007590	4176171	0.494
2275574	2886402	0.431
322805	3513892	0.824
2961203	807344	0.973
1960612	5142994	0.591
1013002	9214285	0.494
11791409	428874	0.431
4254184	4863907	0.931
2547906	5820355	0.431
1629502	504941	0.28
16583720	259368	0.55
3303272	4305807	0.28
3243741	4765909	0.684
5222487	9378317	0.778
3294128	4360511	0.28
1248877	2090935	0.719
1234603	2812442	0.36
1898596	2716706	0.591
1559552	1885413	0.951
1368998	506434	0.719
2027899	3612655	1
1123797	3516024	0.28
4916492	508037	0.644
4821148	662837	0.191
2229312	2423255	1
364529	4465042	0.494
2972109	4661663	0.431
2899331	912357	0.644
14007198	2334564	0.997
16834046	498749	0.84
2323569	4883227	0.28
2474442	2579959	0.431
1749544	842303	0.798
2912791	913055	0.431
1243987	3095898	0.778
3333598	4913783	0.28
1087739	1947668	0.431
1031192	1636265	0.191
1125215	4154210	0.28
329232	5155720	0.28
2170344	3096373	0.36
2590297	3829664	0.778
1960370	2313227	0.482
1495892	886779	0.798
73857	87526	0.888
1065781	3683781	0.28
3027079	4985828	0.978
2946713	5065218	0.28
2998754	4456845	0.28
3135701	4056103	0.28
2681838	5155720	0.28
2962663	905022	0.28
2191992	3165919	1
4874921	721123	0.28
3252387	4280011	0.89
4166585	4915790	0.861
2903175	3610521	0.482
2081264	5344278	0.36
2761732	2903052	1
232605	964752	0.644
2791506	5113449	0.36
4121257	5151310	0.28
216050	799425	0.28
3167932	749598	0.936
4303895	5304006	0.431
2178303	3896458	0.6
1210882	4796501	0.55
1127312	1701894	0.431
2979855	3364496	0.28
2654709	558453	0.36
3897808	506434	0.494
1935000	2296826	0.644
3908752	5365212	0.98
3503650	4012737	0.28
3841000	4056103	0.28
259368	528205	0.644
2345978	576210	0.431
1366033	1447330	0.999
3476408	783937	0.971
232605	2623348	0.431
4414775	457997	0.676
1522844	4765384	0.28
4282960	9148667	0.676
4398609	886751	0.55
1785064	2052465	0.854
4713146	710334	0.9
2981808	4019764	0.909
4144261	4750819	0.431
332520	5172578	0.28
114725	4137928	0.55
2248140	4810370	0.778
11007358	788005	0.28
1182953	2155475	0.191
2981808	958086	0.28
10013539	2998754	0.919
4056103	759095	0.28
14006818	631808	0.28
14005669	2623348	1
3174903	687228	0.36
1453531	822685	0.191
1170182	2547906	0.28
1087805	3409898	0.36
1057873	5076086	0.494
4601808	4739027	0.993
2920749	4958497	0.996
2033762	2322648	0.431
2092370	3174903	0.75
2075788	2693738	0.55
4843742	53381	0.431
4004555	5275746	0.936
1785064	4150759	0.55
3237982	3964106	0.997
1307937	1734411	0.431
4926237	913032	1
2539983	4128025	0.824
2238434	5214082	0.778
2428575	730054	0.999
3051913	4601808	0.778
1667639	3077030	0.28
1637844	2878257	0.591
135882	5273888	1
1487812	4331029	0.55
3498736	5287038	0.431
2031279	4660946	0.431
4559306	5176374	0.28
2453542	4475099	0.816
3092166	714920	0.431
3001692	4688467	0.767
4355026	4843012	0.719
3138971	4437203	0.987
1627438	3454846	0.6
737132	76984	0.494
1384707	567780	0.816
1505377	1773797	0.82
4925944	5006590	0.431
3252138	836513	0.719
1393325	4498413	0.36
2374256	758691	0.191
2880649	4154210	0.28
287810	4972844	0.431
1069478	3098667	0.684
1279386	1971017	0.719
2542840	4874921	0.431
1894250	3157383	0.28
2168400	4386137	0.997
2450911	4616280	0.97
2677230	597192	0.28
24031	3635743	0.28
102816	4400976	0.28
5409001	668575	0.28
2089534	2186087	0.98
2422750	3526650	0.98
3909139	4456964	0.676
2135848	4958542	0.55
1152389	546944	0.431
4115704	9147833	0.36
2562491	5023834	1
121332	2068280	0.871
2478934	2562975	0.191
1583448	2079075	0.28
1316718	2323569	0.431
3150715	4615669	0.431
150325	644464	1
390328	69067	0.431
1706876	2546579	0.84
447011	4986827	0.36
373282	3758918	0.36
2681025	4501358	1
1458824	2841951	0.778
450905	5213288	0.676
1245944	2523926	0.55
2068280	5365212	0.98
2084608	4335475	0.431
3960548	4475702	0.644
4168707	4561216	0.895
133359	5272060	0.644
3414094	4279115	0.482
1753929	4017405	0.978
1373290	3897808	0.494
3837793	3892577	0.28
1522904	4673745	0.802
1346269	2068280	0.938
4594607	879772	0.55
1795737	635423	0.982
3594045	5056788	0.591
2296687	4529117	0.99
4692488	5177449	0.482
3062679	3328681	0.28
2024366	4035122	0.28
2086604	2334209	0.28
3027803	3059970	0.28
125977	3699588	0.28
3076424	4883227	0.28
1136337	717740	0.28
1992667	4487727	1
2688135	530358	0.719
3872782	4704921	0.28
4565634	5118416	0.998
3534919	820620	0.957
4279115	4539821	0.778
2284410	607323	0.99
1627438	452957	0.431
4130227	483984	0.84
390359	4589935	0.874
1136337	8972896	0.28
1615885	4053865	0.431
3077030	435287	0.431
2265349	3087482	0.28
4928425	806284	0.431
2359042	5001936	0.931
3615270	860563	0.191
18532	4206283	0.999
2693641	5400483	0.431
1529536	3792106	0.28
1682385	485355	0.431
1106478	3737772	0.28
2092370	649743	0.684
2164965	4056103	0.431
2970254	4456845	1
1111401	216050	0.28
2183154	3867063	0.28
3082885	4876251	0.28
711574	913055	0.431
3614980	628054	1
5148709	998479	0.28
1872104	3202784	0.55
2374615	2735961	0.28
3816848	399772	0.28
11393240	2392885	0.961
2618003	749723	0.982
1618572	2547906	0.431
1979966	4616280	0.836
1437711	5309316	1
4596945	9442353	0.788
1719195	4323813	0.28
1561215	3242633	0.28
1235047	2052465	0.798
2055876	952160	0.997
2803091	3660758	0.55
1898596	746078	0.953
4189533	4843541	0.644
2405313	3777442	0.89
3085797	547668	0.431
1391444	2318083	0.767
2229473	863768	1
4692488	776998	0.431
2153339	4506918	0.995
2339837	399772	0.28
2178303	5369795	0.982
5056284	644847	0.955
15251	3079639	0.431
4966825	746078	0.28
2286490	2715385	0.28
3690765	4547746	0.644
578965	998479	0.28
2406289	4896685	0.55
1065781	3093536	1
1066643	2779711	0.28
3503650	897674	0.798
2981808	3614429	0.28
3357491	780591	0.861
1594998	4461738	0.644
2135848	3479525	0.431
4731879	510738	0.28
4592376	9644677	0.431
3006313	3962824	0.36
1236268	5280551	0.28
4860048	4881306	0.28
1874239	2586207	0.431
4815127	4857848	0.591
1247513	4360511	0.28
1160340	5831988	0.28
2549751	29439	0.966
3983214	5145879	0.431
1920183	3252138	0.676
1128659	53381	0.917
452957	454945	0.36
3908752	941370	0.867
3699097	5141696	0.997
3504368	857930	0.431
232848	910608	1
3537192	3971313	0.431
4154210	759095	0.28
159232	4883227	0.28
2255265	9148605	0.36
1373290	1507943	0.431
2068280	399028	0.824
2637595	4950076	0.55
14006253	4895088	0.55
2135848	2399757	0.431
1562406	2207592	0.982
2755696	703905	0.36
1859715	646633	0.191
1572883	4843742	0.431
1127312	5245322	0.36
2183154	5071100	0.644
3906305	548234	0.999
2973208	556845	0.824
3415582	9214147	0.55
193246	3333598	0.802
3205598	4157895	0.431
1772114	4243224	0.36
487164	86338	0.644
3508719	4570210	0.798
3145392	3723605	0.824
1105296	3108043	0.94
1859715	1942456	0.55
5074778	820620	0.959
3908627	998479	0.28
1527003	3777633	0.591
2922987	3190514	0.28
3082885	4925944	0.431
4920081	9214147	0.36
3087482	3348102	0.824
1248292	886779	1
2562975	4876078	0.191
1700717	4871405	0.816
5042452	833139	0.431
17189	532585	0.861
16816000	4407417	0.55
3550890	4010791	0.55
535798	868615	0.913
1220061	9650714	0.885
3725670	4572002	0.998
4022643	5368339	0.36
2886402	5841075	0.28
158012	943690	0.28
4661663	5406538	0.431
5124507	848507	0.431
4821148	548234	0.882
4981197	545881	0.55
2339737	3429871	0.482
746078	979493	0.28
14007211	1941659	0.591
2991792	4824072	1
1203852	3366883	0.431
4085808	4398244	0.909
1379671	1815070	0.431
1314473	2556870	0.644
1143071	1180258	0.431
2170344	2367755	0.28
3095931	799425	0.431
4154210	4495521	0.28
4651869	5093917	0.28
5278141	751872	0.824
11791409	4454860	0.431
172914	2405313	0.431
2068280	4587507	0.772
2494598	4811083	0.744
1541204	4972844	0.431
2807898	4774660	0.676
1397560	2038544	0.28
1314473	4772081	0.798
5208865	5397303	1
208828	863768	0.28
2334564	482677	0.28
373282	4763468	0.948
5979	961525	0.28
2068280	851117	0.627
2440819	4465042	0.431
1838887	2618592	0.28
3062679	4305018	0.28
1453531	3957495	0.418
1202600	2157009	0.191
164361	477007	0.644
5027188	746078	0.6
1375750	3082885	0.923
4197396	5118416	0.55
1733948	900597	0.28
2151993	4479726	0.54
4078346	545552	0.431
3908752	9441958	0.969
1954208	492457	0.431
162104	2135848	0.431
222284	4501358	0.644
2296826	4246870	0.28
1883899	1960612	0.55
4613695	574047	0.36
3999360	4810370	0.55
4835623	508037	0.644
5304129	799425	0.431
2068280	3638857	0.935
1065781	3522491	0.744
4680095	9441958	0.431
3062679	707237	0.28
3736508	4774660	0.55
1297684	4774660	0.995
4397910	678947	0.719
1885413	4479726	0.921
1757092	5114861	0.644
3007821	4133962	0.951
2687131	2788787	0.28
4165786	4629164	0.28
3803386	746078	0.644
4717061	477007	0.431
3093536	4861001	0.431
5091561	5245322	0.778
2295323	4913783	0.28
2792641	659945	0.431
2053332	2951619	0.885
221523	2704923	0.89
2993980	4629164	0.28
3423900	4154210	0.28
