icrogid	uid	hgnc_symbol	entrezgene	ensembl_gene_id
4158003	4157895	NR2C1	7181	ENSG00000120798
1937442	2946713	NR2C2	7182	ENSG00000177463
3755615	1937442	NR2C2AP	126382	ENSG00000184162
5095552	3095898	NR2E1	7101	ENSG00000112333
2350445	4851841	NR2E3	10002	ENSG00000278570
4590798	2296393	NR2F1	7025	ENSG00000175745
4919255	4825496	NR2F2	7026	ENSG00000185551
4802489	532535	NR2F6	2063	ENSG00000160113
532535	635742	NR3C1	2908	ENSG00000113580
3414984	2541362	NR3C2	4306	ENSG00000151623
5059508	2244054	NR4A1	3164	ENSG00000123358
4355071	1316205	NR4A2	4929	ENSG00000153234
2135039	4484934	NR4A3	8013	ENSG00000119508
4337063	3158227	NR5A1	2516	ENSG00000136931
447946	4717503	NR5A2	2494	ENSG00000116833
4097707	1599099	NR6A1	2649	ENSG00000148200
5356742	1449530	NRAP	4892	ENSG00000197893
1028465	4442839	NRARP	441478	ENSG00000198435
1784955	3303645	NRAS	4893	ENSG00000213281
3617366	2946713	NRBF2	29982	ENSG00000148572
2092731	430034	NRBP1	29959	ENSG00000115216
636753	699578	NRCAM	4897	ENSG00000091129
3664820	1885413	NRD1	4898	ENSG00000078618
2600671	3174903	NRDE2	55051	ENSG00000119720
5030685	1505377	NREP	9315	ENSG00000134986
3777351	2806644	NRF1	4899	ENSG00000106459
2491091	1180258	NRG1	3084	ENSG00000157168
4949966	3231405	NRG2	9542	ENSG00000158458
34500288	1180258	NRG3	10718	ENSG00000185737
3368472	1180258	NRG4	145957	ENSG00000169752
74108	3832451	NRGN	4900	ENSG00000154146
4563998	532535	NRIP1	8204	ENSG00000180530
218953	3027079	NRIP2	83714	ENSG00000053702
50233716	50233716	NRIP3	56675	ENSG00000175352
5357039	4689036	NRK	203447	ENSG00000123572
4058850	4463193	NRL	4901	ENSG00000129535
5040205	5040205	NRM	11270	ENSG00000228867
3660758	4771277	NRP1	8829	ENSG00000099250
5357048	2757082	NRP2	8828	ENSG00000118257
26858656	2068280	NRROS	375387	ENSG00000174004
1581086	4428933	NRSN2	80023	ENSG00000125841
1014954	4561216	NRTN	4902	ENSG00000171119
2784563	4696333	NRXN1	9378	ENSG00000179915
4806532	5271890	NRXN2	9379	ENSG00000110076
10013551	5250584	NRXN3	9369	ENSG00000021645
4365339	9443045	NSA2	10412	ENSG00000164346
4430025	3841203	NSD1	64324	ENSG00000165671
2209264	4157895	NSDHL	50814	ENSG00000147383
2499322	2304874	NSF	4905	ENSG00000276262
2879199	3529015	NSFL1C	55968	ENSG00000088833
4812837	2772566	NSG1	27065	ENSG00000168824
4642519	5056622	NSL1	25936	ENSG00000117697
1316459	2183154	NSMAF	8439	ENSG00000035681
976488	4691983	NSMCE1	197370	ENSG00000169189
